id,description
1,"Luxury homes: $3.2M Phoenix home features restaurant-style wet bar. A former Arizona Diamondbacks pitcher\, a hotel redeveloper and manager\, an investor in mobile app technology and a dermatologist are among the top five buyers and sellers Real estate Luxury homes"
2,"Pregnant teacher's body found after alleged school affair. A married middle school assistant principal has been arrested in the murder of a pregnant teacher\, who is allegedly his ex-lover. Murder trials Pregnancy School principals Homicide"
3,"Cavaliers' Frye\, Jefferson 1st Phoenix-bred NBA champs. This was one way for Phoenicians to win an NBA championship. NBA Finals Richard Jefferson Channing Frye Shaun Livingston Kevin Love LeBron James"
4,"13 empty big-box store buildings in metro Phoenix. Massive\, tricky spaces still outnumber willing tenants\, according to local real-estate firms. Commercial development big box store Phoenix"
5,"Mom shares photos of son playing in Disney lagoon. A Massachusetts woman shared photos last week of her son playing in the same Florida lagoon where an alligator snatched 2-year-old Lane Graves less than an hour later.  Disney World Alligator attacks"
6,"Arizona places cooler than Phoenix right now. It's easy to escape the Phoenix heat. Here are four cool things to do in Flagstaff and northern Arizona. Outdoor"
7,"Arizona forest thinning 'just not happening'. Just over 80\,000 of the 1 million acres of forest targeted in Arizona have been thinned. U.S. Forest Service azcentral Arizona wildfires John McCain Wildfires Jeff Flake"
8,"3-year-old dies a day after his twin brother drowns. Both toddlers were found at the bottom of a swimming pool during a party. Drowning Nation Now"
9,"Are you eligible for free Ticketmaster tickets?. Millions of concertgoes are eligible for free tickets through Ticketmaster thanks to a class-action lawsuit over ticket fees. Concert tickets"
10,"Weekend's record heat wave turns fatal. Record-breaking heat across Arizona shattered temperature records Sunday and claimed at least four lives over the weekend Yuma National Weather Service Phoenix Arizona Sheriffs"
11,"DOJ reverses course on redacting transcript. Orlando shooter claims responsibility in 911 calls Boston Marathon Iain Duncan Smith Orlando gay nightclub shooting Omar Mateen"
12,"Supreme Court turns down assault weapons cases. Bans in Connecticut and New York were challenged by gun rights advocates Clarence Thomas Andrew Cuomo Dan Malloy assault weapons Guns Supreme Court of the United States"
13,"One dead\, freeway closed after collision. A motorist was killed when a tractor trailer collided with up to 10 other vehicles Sunday\, closing down the southbound Interstate 17 north of Sedona. Sedona"
14,"A big dog"
15,"Shelby Miller strong in return from DL. Right-hander Shelby Miller threw well against a struggling Phillies team as the Diamondbacks completed a sweep. Chip Hale Arizona Diamondbacks Shelby Miller Jake Lamb"
16,"Freshman Sterling-Cole ready for ASU QB battle. From his home in Texas\, Dillon Sterling-Cole has watched film of Arizona State's spring-practice sessions\, studying the offense\, noticing the pace and precision. ASU football Todd Graham Mike Norvell Tom Brady"
17,"Frye\, Jefferson 1st Phoenix-bred NBA champs. This was one way for Phoenicians to win an NBA championship. NBA Finals Richard Jefferson Channing Frye Shaun Livingston Kevin Love LeBron James"
18,"Draft week: Coyotes consider trading up\, down. The Coyotes are open-minded to trading draft picks\, particularly their pair of firsts\, but it remains unclear whether or not the team’s order of selection at this weekend’s draft in Buffalo will undergo further change. Arizona Coyotes Auston Matthews Alex Goligoski Keith Yandle Mikkel Boedker Oliver Ekman-Larsson"
19,"Brito returns as Peralta heads back to DL. The Diamondbacks recalled outfielder Socrates Brito from Triple-A Reno as they placed outfielder David Peralta on the disabled list Monday morning. David Peralta Chip Hale Shelby Miller Arizona Diamondbacks"
20,"NBA mock draft: Paul Coro's second edition. Suns insider Paul Coro updates his mock draft for the NBA draft on June 23\, when the Suns have three first-round picks. Buddy Hield Jamal Murray Danny Ainge Ben Simmons Jaylen Brown NBA Kris Dunn NBA Draft Dragan Bender Brandon Ingram Tom Thibodeau Karl-Anthony Towns Ryan Mcdonough Ricky Rubio Kevin Durant"
21,"Arizona League schedule set for hot openers. It would take an excessively motivated baseball fan to attend an Arizona League opener Monday night amid excessive heat warnings. San Francisco Giants Arizona Diamondbacks Major League Baseball Chicago Cubs"
22,"Houston RB Trelon Smith commits to ASU. Trelon Smith\, a quick three-star running back from Houston Cypress Ridge High\, committed to Arizona State on Monday morning. ASU football Todd Graham Noah Smith"
23,"Coyotes trade prospect to Sharks for picks. The Coyotes upped their number of 2016 draft picks to eight Monday after acquiring the Sharks' fourth-round pick and a 2017 third-rounder in exchange for prospect center Maxim Letunov and a 2017 sixth-round pick. Arizona Coyotes Alex Goligoski Zbynek Michalek"
24,"Bickley: Graham eager to sell new era at ASU. Todd Graham is in transition. Some might call it trouble. Arizona State Sun Devils Cactus Bowl NFL Super Bowl Quarterbacks Todd Graham Art Briles"
25,"Arizona State Sun Devils Ready for Cactus Bowl"
26,"Freshman ready for ASU QB battle. From his home in Texas\, Dillon Sterling-Cole has watched film of Arizona State's spring-practice sessions\, studying the offense\, noticing the pace and precision. ASU football Todd Graham Mike Norvell Tom Brady"
27,"UA falls to Oklahoma St. at College World Series. Arizona's Bobby Dalbec struck out 12 Oklahoma State batters on Monday night\, but he gave up one run and that's all the Cowboys needed. NCAA Division I Baseball Championship College World Series Arizona Wildcats"
28,"Bender a better pick than Chriss for Suns?. NBA draft analysts do not compare Dragan Bender to Kristaps Porzingis but the Suns judge him next to Marquese Chriss. NBA Marquese Chriss Phoenix Suns NBA Draft Dragan Bender Ben Simmons Buddy Hield Stu Jackson Kristaps Porzingis Tyrus Thomas Jamal Murray"
29,"Frye\, Jefferson 1st Phoenix-bred NBA champs. This was one way for Phoenicians to win an NBA championship. NBA Finals Richard Jefferson Channing Frye Shaun Livingston Kevin Love LeBron James"
30,"Diana Taurasi among WNBA top 20 all-time. Taurasi needs 40 points to become WNBA third 7\,000-point scorer Ann Meyers Drysdale Diana Taurasi WNBA Phoenix Mercury"
31,"Shelby Miller strong in return from DL. Right-hander Shelby Miller threw well against a struggling Phillies team as the Diamondbacks completed a sweep. Chip Hale Arizona Diamondbacks Shelby Miller Jake Lamb"
32,"Brito returns as Peralta heads back to DL. The Diamondbacks recalled outfielder Socrates Brito from Triple-A Reno as they placed outfielder David Peralta on the disabled list Monday morning. David Peralta Chip Hale Shelby Miller Arizona Diamondbacks"
33,"Arizona League schedule set for hot openers. It would take an excessively motivated baseball fan to attend an Arizona League opener Monday night amid excessive heat warnings. San Francisco Giants Arizona Diamondbacks Major League Baseball Chicago Cubs"
